AREANM,AREACD,time1,time2,time3,time4,time5
Hartlepool,E06000001,36.7,47.5,59.4,57.8,59.9
Middlesbrough,E06000002,25.7,38.1,46.5,48.5,52.7
Redcar and Cleveland,E06000003,37.7,38.6,51.4,55.7,56.3
Stockton-on-Tees,E06000004,28.8,37.3,47.4,53.9,59.9
Darlington,E06000005,35.7,45.4,55.3,59.8,62.5
Halton,E06000006,25.3,31,41.9,48.4,52
Warrington,E06000007,34.6,49.7,58.5,62.4,62.6
Blackburn with Darwen,E06000008,30.8,36.6,45.6,50.8,56.3
Blackpool,E06000009,38.4,41.8,50.6,56,57.6
"Kingston upon Hull, City of",E06000010,27.6,39.1,46.9,52.4,52.1
East Riding of Yorkshire,E06000011,44.3,52.6,58.2,61.1,62.7
North East Lincolnshire,E06000012,53.8,57.3,59.8,61.9,62.4
East Cambridgeshire,E07000009,40.2,50.1,55.9,60,60.6
North Lincolnshire,E06000013,41.2,55.4,61,62.9,64.1
York,E06000014,44.5,56.1,59.7,67.6,68.3
Derby,E06000015,32.5,39.8,49.5,56,58.4
Leicester,E06000016,17.1,28.3,38.5,49.8,54.8
Rutland,E06000017,48.7,54.9,66.8,59.7,69.9
Nottingham,E06000018,28.7,34.4,46.9,53.5,56.4
"Herefordshire, County of",E06000019,42.1,50.1,55,62.8,64.2
Telford and Wrekin,E06000020,34.1,46.4,53.6,57.2,60.4
Stoke-on-Trent,E06000021,40,42,49.5,52.2,55
Bath and North East Somerset,E06000022,38.1,53.2,60.2,60.3,64.2
"Bristol, City of",E06000023,38.3,46.9,53.1,56.6,59.1
North Somerset,E06000024,55.2,61.1,64.8,66,68.6
South Gloucestershire,E06000025,41.5,47.6,54.2,57.3,60.4
Plymouth,E06000026,46.3,48.8,52.3,54.6,56.2
Torbay,E06000027,36.5,48.2,52.3,61.2,63.8
Bournemouth,E06000028,47.3,60.4,63.6,63.4,65.9
North East Derbyshire,E07000038,38.9,50.2,56.9,60.2,60.6
Poole,E06000029,37.9,50.1,55.8,63.2,67.3
Swindon,E06000030,44.7,49.3,57.8,59.7,60.9
East Devon,E07000040,54.5,58,62.3,63.7,62.2
Peterborough,E06000031,35,47.4,50.8,52.9,52.2
Luton,E06000032,36.5,40.5,50.7,54.1,58.3
Southend-on-Sea,E06000033,36.3,48.6,60.3,62,65.7
Thurrock,E06000034,40.2,58.1,62.2,65.9,68.9
Medway,E06000035,43.1,52.5,59.4,63.2,65.1
Bracknell Forest,E06000036,45.5,54.5,62.4,64.1,65.3
West Berkshire,E06000037,49.5,55.7,61.6,66.8,69.1
Reading,E06000038,37.6,50.3,56.9,62.6,60.2
